,tu,đinh_nghia,điểm
18637,trưởng tử,người con cả,0.0
18638,trường thi,xemtrường ốc,0.0
18639,mắn,năng chửa đẻ,0.4
18640,tấc vàng,tấm lòng quý,0.8
18641,tăm tiếng,xemtiếng tăm,0.0
18642,ngam ngám,kém một chút,0.0
18643,hoan lạc,xemkhoái lạc,0.7
18644,phái bộ,nhưphái đoàn,0.0
18645,thèm nhạt,nhưthèm muốn,0.0
18646,thấy tháng,nhưthấy kinh,0.0
18647,đưa tin,báo cho biết,0.0
18648,lầy lội,có nhiều bùn,-0.5
18649,e rằng,ngại điều gì,-0.4
18650,ngại ngần,xemngần ngại,-0.4
18651,hoàng tộc,xemhoàng gia,0.0
18652,hoàng thất,xemhoàng gia,0.0
18653,hoàng phái,xemhoàng gia,0.0
18654,màng nhện,nhưmạng nhện,0.0
18655,hoàng tử,con trai vua,0.0
18656,thậm thà thậm thụt,xemthậm thụt,-0.3
18657,gằm gằm,xemgườm gườm,-0.6
18658,phân tách,xemphân tích,0.0
18659,nhuôm nhuôm,màu xanh xám,0.0
18660,phẩm vị,nhưphẩm trật,0.0
18661,triết nhân,nhưtriết gia,0.0
18662,gật gà gật gưỡng,xemgật gưỡng,0.0
18663,triêng,"quang, gióng",0.0
18664,mái tóc,tóc trên đầu,0.0
18665,thắc thỏm,xemthấp thỏm,-0.5
18666,phật đài,bàn thờ Phật,0.0
18667,phất trần,chổi lông gà,0.0
18668,tân lang,chàng rễ mới,0.5
18669,tân bằng,khách và bạn,0.3
18670,tấm bé,tuổi còn thơ,0.3
18671,trần thế,xemtrần gian,0.0
18672,tranh ảnh,tranh và ảnh,0.0
18673,giàn giụa,chảy tràn ra,-0.2
18674,giáng trần,xemgiáng thế,0.4
18675,giáng phàm,nhưgiáng thế,0.4
18676,giao tế,xemgiao tiếp,0.0
18677,giằn giọc,nhưtrằn trọc,-0.5
18678,nâu non,màu nâu nhạt,0.0
18679,tột độ,mức cao nhất,0.0
18680,giờ hồn,từ để răn đe,-0.3
18681,giú,rấm cho chín,0.0
18682,tội lỗi,tội mắc phải,-0.9
18683,tập luyện,xemluyện tập,0.4
18684,kiến vống,nhưkiến càng,0.0
18685,lều chiếu,xemlều chõng,0.0
18686,tốc độ kế,đồ đo tốc độ,0.0
18687,tăng gia,làm thêm lên,0.3
18688,tắm rửa,tắm cho sạch,0.4
18689,phong thấp,xemthấp khớp,-0.6
18690,tạo lập,gây dựng nên,0.5
18691,phòng tối,xembuồng tối,0.0
18692,phòng ốc,"buồng, phòng",0.0
18693,lưu hoàng,xemlưu huỳnh,0.0
18694,lược thao,xemthao lược,0.0
18695,nhiệm nhặt,rất cẩn thận,0.5
18696,nhiệm mầu,nhưmầu nhiệm,0.6
18697,tác thành,gây dựng nên,0.5
18698,nhinh nhỉnh,hơi trội hơn,0.3
18699,nhiều,số lượng lớn,0.0
18700,tĩnh đàn,nơi thờ Phật,0.4
18701,tình quân,xemtình lang,0.5
18702,kiếm cung,xemcung kiếm,0.0
18703,nằm ì,ở lì một nơi,-0.3
18704,tinh khí,nhưtinh dịch,0.0
18705,sụp lạy,khúm núm lạy,-0.2
18706,bờ đê,đê ở bờ sông,0.0
18707,sùng kính,rất tôn kính,0.7
18708,tim la,xemgiang mai,-0.8
18709,tiểu tinh,ngôi sao nhỏ,0.0
18710,tiểu thặng,xemtiểu thừa,0.0
18711,hớt ngọn,cắt bớt ngọn,0.0
18712,tê thấp,xemthấp khớp,-0.5
18713,liễu bồ,người phụ nữ,0.0
18714,hưng phế,nhưhưng vong,0.0
18715,hùng tài,tài năng lớn,0.6
18716,luật pháp,nhưpháp luật,0.0
18717,kế vị,nối ngôi vua,0.0
18718,kết băng,đông đặc lại,0.0
18719,kêu vang,kêu to tiếng,0.0
18720,khai sanh,xemkhai sinh,0.0
18721,sễ,hơi sa xuống,0.0
18722,khuya sớm,xemsớm khuya,0.0
18723,tiên giới,xemtiên cảnh,0.8
18724,quạt máy,nhưquạt điện,0.0
18725,hứa hẹn,điều tốt đẹp,0.7
18726,khát khao,xemkhao khát,0.2
18727,tí đỉnh,xemchút đỉnh,0.0
18728,khâu trần,nhưkhâu lược,0.0
18729,nhân nhẩn,xemnhần nhận,0.6
18730,khích động,xemkích động,-0.6
18731,rượu nho,nhưrượu vang,0.0
18732,thượng hạ,trên và dưới,0.0
18733,lợi quyền,nhưquyền lợi,0.5
18734,thước nách,xemthước thợ,0.0
18735,khu trừ,đuổi đi khỏi,-0.3
18736,mông mênh,xemmênh mông,0.0
18737,thứ nam,con trai thứ,0.0
18738,kiến lập,xây dựng nên,0.4
18739,mủm mỉm,hơi hé miệng,0.2
18740,mục kích,thấy tận mắt,0.0
18741,chữ đồng,mối đồng tâm,0.7
18742,thuốc xổ,xemthuốc tẩy,0.0
18743,quê nhà,quê của mình,0.5
18744,rún rẩy,xemnhún nhảy,0.0
18745,kéc,loài vẹt lớn,0.0
18746,lại sức,xemlại người,0.6
18747,quốc hiệu,tên một nước,0.0
18748,thuế má,nhưthuế khoá,0.0
18749,thạch tín,xemnhân ngôn,-0.8
18750,làm rầy,gây bực mình,-0.6
18751,lăng băng,xemlông bông,-0.3
18752,khau,gàu tát nước,0.0
18753,thời cục,xemthời cuộc,0.0
18754,khán hộ,(từ cũ) y tá,0.0
18755,lảu thông,xemlàu thông,0.6
18756,lau chùi,lau cẩn thận,0.0
18757,rỉ răng,hé miệng nói,0.0
18758,lặng thinh,không nói gì,0.0
18759,lắng tai,nhưlắng nghe,0.0
18760,quốc vương,vua một nươc,0.0
18761,thang gác,xemcầu thang,0.0
18762,khúc nôi,nhưkhúc nhôi,0.0
18763,loạn dâm,xemloạn luân,-0.9
18764,loàn,(từ cũ) loạn,-0.7
18765,phơi phóng,phơi cho khô,0.0
18766,tham tá,xemtham biện,0.0
18767,khăn trắng,nhưkhăn tang,-0.5
18768,lông xiêu,nhưlông quặm,-0.4
18769,lẩn quẩn,xemluẩn quẩn,-0.4
18770,rậm lời,nói dài dòng,-0.2
18771,rắp,(từ cũ) toan,0.0
18772,thổ mộ,xemxe thổ mộ,0.0
18773,cà rá,nhẫn đeo tay,0.0
18774,lật nhào,đổ hẳn xuống,-0.5
18775,lạt lẽo,xemnhạt nhẽo,-0.6
18776,kiêu dũng,xemdũng mãnh,0.7
18777,thiện ý,nhưthiện chí,0.8
18778,liên luỵ,chịu tội lây,-0.7
18779,linh đinh,nhưlênh đênh,-0.5
18780,quên lãng,nhưlãng quên,-0.2
18781,quên khuấy,nhưquên bẵng,-0.2
18782,khởi điểm,điểm bắt đầu,0.0
18783,khí vật,đồ vật bỏ đi,-0.4
18784,khoa giáp,xemkhoa bảng,0.7
18785,lỡ cơ,bỏ lỡ cơ hội,-0.6
18786,luấn quấn,không rời ra,-0.2
18787,thê,từ Hán là vợ,0.0
18788,quay lơ,ngã lăn quay,-0.1
18789,thập phương,khắp mọi nơi,0.0
18790,thân thể,cơ thể người,0.0
18791,mất giá,giảm giá trị,-0.6
18792,thân gia,xemthông gia,0.0
18793,thâm tâm,tận đáy lòng,0.0
18794,quá lời,nói nặng lời,-0.6
18795,mắng chửi,mắng thậm tệ,-0.7
18796,mắc cỡ,"thẹn, xấu hổ",-0.7
18797,ké né,"e sợ, rụt rè",-0.5
18798,ỉu xìu,rũ hẳn xuống,-0.4
18799,rút rát,xemnhút nhát,-0.6
18800,làng xóm,xemlàng nước,0.0
18801,sớm tối,suốt cả ngày,0.0
18802,mủng,thuyền thúng,0.0
18803,ít nhiều,có nhưng ít,0.0
18804,tùng,tiếng trống,0.0
18805,mắc lừa,bị đánh lừa,-0.6
18806,quá cố,chết đã lâu,-0.4
18807,nói bỡn,nhưnói bông,0.1
18808,muôn nghìn,xemmuôn vàn,0.0
18809,góp nhóp,xemgóp nhặt,0.0
18810,sáng tai,còn nghe rõ,0.3
18811,hữu tâm,có lòng tốt,0.8
18812,đám cưới,lễ hôn nhân,0.7
18813,gió vàng,gió mùa thu,0.0
18814,tội nhân,kẻ phạm tội,-0.9
18815,tận dụng,sử dụng hết,0.1
18816,chim muông,chim và thú,0.0
18817,thất gia,xemgia thất,0.0
18818,sẫm,màu sắc đậm,0.0
18819,phí phạn,nhưphí phạm,-0.7
18820,nấp bóng,xemnúp bóng,-0.2
18821,kiến vàng,xemkiến lửa,0.0
18822,nấu bếp,nghề nấu ăn,0.0
18823,tân tạo,mới tạo nên,0.1
18824,bộ hành,người đi bộ,0.0
18825,ô kéo,nhưngăn kéo,0.0
18826,diễn dịch,xemsuy diễn,0.0
18827,num núm,hơi nhú lêm,0.0
18828,não nà,nhưnão nuột,-0.7
18829,lóm,trũng xuống,0.0
18830,khói đèn,nhưmuội đèn,0.0
18831,tổn hại,mất mát lớn,-0.9
18832,nhiệt biểu,xemnhiệt kế,0.0
18833,ngu đần,rất khờ dại,-0.8
18834,sít sao,khẩn trương,0.0
18835,hữu hạn,có giới hạn,0.0
18836,thông hiểu,hiểu cặn kẽ,0.6
18837,nồng nỗng,quá lộ liễu,-0.5
18838,công chúa,con gái vua,0.0
18839,kinh địa,đất kinh đô,0.0
18840,nguôi nguôi,giảm dần đi,0.2
18841,há,mở to miệng,0.0
18842,tao ngộ,gặp tình cờ,0.0
18843,lú nhú,mới mọc lên,0.0
18844,khoai môn,xemkhoai sọ,0.0
18845,lờm,dư ra ngoài,0.0
18846,nàn,(từ cũ) nạn,-0.9
18847,hung dữ,nhưhung bạo,-0.9
18848,hung hung,có màu hung,0.0
18849,hung tợn,rất hung dữ,-0.9
18850,nỏi,mới nổi lên,0.0
18851,nam sinh,học trò nam,0.0
18852,sầu bi,buồn thương,-0.9
18853,ngùi ngùi,nhưbùi ngùi,-0.7
18854,nam nữ,trai và gái,0.0
18855,kém vế,xemkém cạnh,-0.6
18856,tắc nghẽn,không thông,-0.6
18857,bêu xấu,nhưbêu riếu,-0.9
18858,công quĩ,xemcông quỹ,0.0
18859,tây vị,xemthiên vị,-0.7
18860,phăng phắc,rất im lặng,0.0
18861,phầm phập,mạnh và sâu,0.0
18862,tỏ ra,cho thấy là,0.0
18863,tỏ rõ,cho thấy rõ,0.0
18864,sao đổi ngôi,xemsao băng,0.0
18865,sao sa,nhưsao băng,0.0
18866,sao tua,xemsao chổi,0.0
18867,mẹo mực,nhưmẹo luật,-0.2
18868,lài,thoai thoải,0.0
18869,thở than,xemthan thở,-0.7
18870,thu binh,rút binh về,0.0
18871,oan nghiệt,xemoan trái,-0.9
18872,thu nhặt,gom góp lại,0.0
18873,xe dây,Xemxe duyên,0.3
18874,Xe tơ,Xemxe duyên,0.3
18875,thờ cúng,thờ và cúng,0.0
18876,sưng vù,sưng rất to,0.0
18877,nín bặt,im đột ngột,0.0
18878,long xa,nhưlong giá,0.0
18879,ông xanh,nhưông trời,0.0
18880,ống dòm,nhưống nhòm,0.0
18881,nghễnh ngãng,bị điếc nhẹ,-0.5
18882,phá đám,nhưphá bĩnh,-0.7
18883,phá hoẵng,nhưphá bĩnh,-0.7
18884,nằm quèo,nhưnằm queo,-0.2
18885,tán phét,khoe khoang,-0.6
18886,ghế ngựa,nhưván ngựa,0.0
18887,cáo lỗi,xin thứ lỗi,0.1
18888,khí than ướt,nhưkhí than,0.0
18889,mũ nồi,nhưmũ bê-rê,0.0
18890,tại vị,đang trị vì,0.0
18891,liệt bại,nhưbại liệt,-0.9
18892,lộn tùng phèo,xemlộn phèo,-0.6
18893,thi hào,nhà thơ lớn,0.7
18894,dương cầm,đàn pi-a-no,0.0
18895,giật xổi,nhưgiật tạm,-0.4
18896,lẩn tha lẩn thẩn,nhưlẩn thẩn,-0.6
18897,khét lèn lẹt,xemkhét lẹt,-0.2
18898,tái lai,đến lần nữa,0.0
18899,tàn canh,gần hết đêm,0.0
18900,trường kỷ,xemtràng kỷ,0.0
18901,kín miệng,không để lộ,0.1
18902,ló,lộ một phần,0.0
18903,mến tiếc,yêu và tiếc,-0.2
18904,ninh gia,về thăm nhà,0.4
18905,nỏ mồm,nhưnỏ miệng,-0.1
18906,sư hữu,thầy và bạn,0.5
18907,sướt,có vệt xước,-0.1
18908,lo sốt vó,rất lo lắng,-0.8
18909,thu quân,rút quân về,0.0
18910,thù ứng,xemthù tiếp,0.0
18911,tu sĩ,nhà tu hành,0.1
18912,toàn cầu,cả thế giới,0.0
18913,tàn binh,nhưtàn quân,-0.5
18914,hậu tra,chờ xét hỏi,-0.2
18915,khế cơm,nhưkhế ngọt,0.0
18916,tanh hôi,xemhôi tanh,-0.7
18917,hồng huyết cầu,xemhồng cầu,0.0
18918,lưỡng nghi,trời và đất,0.0
18919,hiện diện,đang có mặt,0.0
18920,phụ thân,(từ cũ) cha,0.0
18921,tèm nhèm,nhưtẹp nhẹp,-0.4
18922,hoắm,hõm rất sâu,0.0
18923,nóng nực,nhưnóng bức,-0.3
18924,đeo đai,quyến luyến,0.6
18925,trao tay,đưa tận tay,0.0
18926,trau giồi,xemtrau dồi,0.6
18927,pha phôi,nhưphôi pha,-0.2
18928,bặt tăm,nhưbiệt tăm,-0.1
18929,nước xuýt,nhưnước xáo,0.0
18930,nựng mùi,có mùi nặng,-0.3
18931,nườm nượp,"đông, nhiều",0.0
18932,thảm thê,xemthê thảm,-0.8
18933,hoang vu,xemhoang dã,-0.3
18934,mỡ gàu,mỡ ở gáy bò,0.0
18935,tầm phơ,nhưtầm phào,-0.3
18936,nghìn vàng,rất quý giá,0.8
18937,ngoa,quá sự thật,-0.4
18938,hồi âm,thư trả lời,0.0
18939,Hội long vân,thời cơ tốt,0.7
18940,tề tựu,đến đông đủ,0.0
18941,tề chỉnh,xemchỉnh tề,0.4
18942,thảm sầu,xemsầu thảm,-0.8
18943,thoạt tiên,lúc mới đầu,0.0
18944,hoang phế,bỏ lâu ngày,-0.6
18945,thanh tân,trong trắng,0.8
18946,may mắn,gặp dịp tốt,0.9
18947,sân cỏ,môn bóng đá,0.0
18948,Kim phong,gió mùa thu,0.0
18949,thân sơ,thân hay sơ,0.0
18950,thần hiệu,hiệu nghiệm,0.7
18951,lấy làm,tự cảm thấy,0.0
18952,thổ ngơi,xemthổ nghi,0.0
18953,ra tuồng,làm cái trò,-0.3
18954,lễ bái,xemcúng bái,0.0
18955,tê tái,đau xót quá,-0.9
18956,mạnh dạn,nhưmạnh bạo,0.6
18957,lẫy lừng,xemlừng lẫy,0.8
18958,súng sáu,nhưsúng lục,0.0
18959,nổi xung,nhưnổi giận,-0.7
18960,gái giang hồ,nhưgái điếm,-0.9
18961,thẩn thơ,xemthơ thẩn,-0.2
18962,nhiều nhặn,chẳng nhiều,0.0
18963,nhạo báng,xemchế nhạo,-0.8
18964,tam canh,lúc nửa đêm,0.0
18965,sang năm,năm tới đây,0.0
18966,sư sinh,thầy và trò,0.0
18967,lấn lối,nhưlấn lướt,-0.6
18968,thoạt đầu,lúc ban đầu,0.0
18969,thì thầm,xemthầm thì,0.0
18970,thì thọt,xemthì thụt,-0.2
18971,khô không khốc,xemkhô khốc,-0.2
18972,tín phục,tin và phục,0.6
18973,khó chơi,có tính xấu,-0.7
18974,phải điều,hợp lẽ phải,0.7
18975,phải đòn,bị đánh đòn,-0.6
18976,thốn,(từ cũ) tấc,0.0
18977,lâm nạn,gặp tai nạn,-0.8
18978,màng tai,nhưmàng nhĩ,0.0
18979,trung thế kỷ,nhưtrung cổ,0.0
18980,phúc tra,xem xét lại,0.0
18981,nhủ,"khuyên, bảo",0.0
18982,khác xa,không giống,0.0
18983,rẽ ròi,nhưrạch ròi,0.4
18984,giao hiếu,nhưgiao hảo,0.5
18985,phải vạ,nhưphải tội,-0.7
18986,niên,(từ cũ) năm,0.0
18987,lặng yên,xemyên lặng,0.2
18988,hong,làm cho khô,0.0
18989,trị quốc,nhưtrị bình,0.6
18990,khe khắt,xemkhắt khe,-0.4
18991,cựu,cũ; lâu năm,0.0
18992,hỗ giá,theo xe vua,0.0
18993,tinh thạch,thiên thạch,0.0
18994,kim phong,gió mùa thu,0.0
18995,khoan khoan,xemkhoan đã,0.0
18996,thanh âm,xemâm thanh,0.0
18997,trùng ngũ,xemđoan ngọ,0.2
18998,cố hương,làng quê cũ,0.3
18999,giấy nhám,nhưgiấy ráp,0.0
19000,quỷ thuật,xemảo thuật,-0.3
19001,lăn chiêng,ngã ngửa ra,-0.2
19002,trú dạ,ngày và đêm,0.0
19003,hoàng anh,xemvàng anh,0.0
19004,quái gở,rất kì quái,-0.6
19005,sụp đổ,đổ ập xuống,-0.8
19006,cùng tận,nhưtận cùng,-0.3
19007,vững bền,Xembền vững,0.7
19008,nhơm nhớp,dính và bẩn,-0.7
19009,mong chờ,nhưmong đợi,0.6
19010,lãnh hội,xemlĩnh hội,0.0
19011,làm xằng,làm bừa bãi,-0.6
19012,thanh la,xemphèng la,0.0
19013,rên rẩm,rên kéo dài,-0.7
19014,nhơ đời,đáng xấu hổ,-0.9
19015,nhờ nhờ,màu đã phai,-0.2
19016,ngồi phệt,nhưngồi bệt,0.0
19017,tiêu tán,xemtiêu tan,-0.6
19018,niêu,nồi đất nhỏ,0.0
19019,quái quỷ,nhưquỷ quái,-0.8
19020,nhín,để dành lại,0.2
19021,ngay râu,nhưngay mặt,0.0
19022,thợ đấu,thợ đào đất,0.0
19023,thơ ngây,xemngây thơ,0.7
19024,nhà tắm,nơi tắm rửa,0.0
19025,dễ bảo,ngoan ngoãn,0.7
19026,giam cấm,nhưgiam cầm,-0.9
19027,nhợt nhạt,nhạt và yếu,-0.6
19028,bẩm tính,nhưbẩm chất,0.0
19029,văn cảnh,Xemngữ cảnh,0.0
19030,nhoáy,nhanh chóng,0.0
19031,thờ thẫn,xemthẫn thờ,-0.4
19032,cất tiếng,bắt đầu nói,0.0
19033,tiểu thơ,xemtiểu thư,0.1
19034,hư báo,đưa tin sai,-0.7
19035,đa cảm,dễ xúc động,0.2
19036,lum khum,nhưlom khom,-0.1
19037,gươm giáo,nhưgươm đao,-0.4
19038,hoàng oanh,xemvàng anh,0.0
19039,mối manh,xemmanh mối,0.0
19040,đùa nghịch,xemchơi đùa,0.6
19041,nữ sinh,học sinh nữ,0.0
19042,bến tàu,nhưbến cảng,0.0
19043,hải đăng,xemđèn biển,0.0
19044,lạ đời,khác thường,-0.2
19045,lạ thường,khác thường,-0.1
19046,nhà ngang,nếp nhà phụ,0.0
19047,trợt lớt,tuột hết cả,-0.7
19048,nòng cột,nhưnòng cốt,0.4
19049,dục tình,nhưtình dục,0.0
19050,giải phiền,nhưgiải sầu,0.8
19051,giãi tỏ,nhưgiãi bày,0.3
19052,dữ tợn,rất hung ác,-0.9
19053,dưng,không có gì,-0.2
19054,huýt gió,nhưhuýt sáo,0.0
19055,in máy,in bằng máy,0.0
19056,gà sống,xemgà trống,0.0
19057,cổ mộ,ngôi mộ xưa,-0.3
19058,rơi rớt,còn sót lại,-0.2
19059,rơi vãi,nhưrơi rụng,-0.5
19060,lài nhài,xemlải nhải,-0.7
19061,rộ,mạnh mẽ lên,0.4
19062,ngăm,đe doạ; hăm,-0.8
19063,tặng phẩm,vật để tặng,0.7
19064,ngáp gió,bị thất bại,-0.8
19065,ngầy,phiền nhiễu,-0.7
19066,làm rối,gây lộn xộn,-0.6
19067,hùm beo,loài thú dữ,-0.4
19068,hứa,nhận sẽ làm,0.0
19069,trở thành,thành ra là,0.0
19070,quằn quẹo,không thẳng,-0.1
19071,tru tréo,kêu la ầm ĩ,-0.7
19072,Điêu thuyền,hay nói dối,-0.8
19073,tươi tắn,tươi và đẹp,0.9
19074,kén chọn,chọn rất kỹ,-0.2
19075,trâm hốt,nhưtrâm bào,0.0
19076,phật giáo,xemđạo Phật,0.0
19077,Phật giáo,Xemđạo Phật,0.0
19078,núi băng,xembăng sơn,0.0
19079,vóc dáng,Xemdáng vóc,0.0
19080,qui phạm,Xemquy phạm,0.0
19081,thượt,thẳng đờ ra,-0.1
19082,tiếp đón,xemđón tiếp,0.6
19083,tiếp nối,xemnối tiếp,0.0
19084,tiến thoái,tiến và lui,0.0
19085,toàn phần,đủ các phần,0.0
19086,nháo nhâng,không lễ độ,-0.7
19087,pháo bông,nhưpháo hoa,0.6
19088,nhừ đòn,bị đánh đau,-0.9
19089,gà mái,gà đẻ trứng,0.0
19090,ngả mũ,bỏ mũ xuống,0.3
19091,kết đoàn,nhưđoàn kết,0.8
19092,con vụ,nhưcon quay,0.0
19093,miếu,đền thờ nhỏ,0.0
19094,quặn quẹo,không thẳng,-0.1
19095,khạc nhổ,khạc và nhổ,-0.6
19096,mua sắm,mua để dùng,0.0
19097,quần thoa,giới phụ nữ,0.0
19098,gian lao,xemgian khổ,-0.8
19099,gian lậu,nhưgian lận,-0.9
19100,tư vị,xemthiên vị,-0.6
19101,huyết,kinh nguyệt,0.0
19102,tiền tài,xemtiền của,0.0
19103,trầu cau,đồ dẫn cưới,0.4
19104,tọp,gầy tóp hẳn,-0.5
19105,thừa tướng,xemtể tướng,0.0
19106,tùng xẻo,nhưlăng trì,-0.9
19107,ngọc chiếu,nhưngọc chỉ,0.0
19108,phạng,liễn có nắp,0.0
19109,ngoái cổ,quay cổ lại,0.0
19110,mai gầm,xemcạp nong,0.0
19111,phần nhiều,xemphần lớn,0.0
19112,phấn sáp,nhưphấn son,0.0
19113,con bạc,kẻ đánh bạc,-0.6
19114,thượng kinh,lên kinh đô,0.0
19115,gỗ tạp,loại gỗ xấu,-0.6
19116,gỗ tứ thiết,xemtứ thiết,0.5
19117,khuấy rối,làm rối lên,-0.7
19118,rướn,cố vươn cao,0.0
19119,thư quán,xemthư điếm,0.0
19120,son phấn,xemphấn son,0.0
19121,lạnh người,thấy run sợ,-0.8
19122,sẩy tay,lỡ đánh rơi,-0.2
19123,sắm,mua để dùng,0.0
19124,trừ diệt,xemdiệt trừ,-0.4
19125,khơi mào,nhưkhai mào,0.0
19126,giày ống,nhưgiày bốt,0.0
19127,tròn trĩnh,tròn và gọn,0.3
19128,khất nợ,hoãn trả nợ,-0.5
19129,trọc tếch,xemtrọc tếu,0.0
19130,gầm hét,xemgầm thét,-0.6
19131,gặp vận,xemgặp thời,0.7
19132,quân vương,(từ cũ) vua,0.0
19133,thước tây,(từ cũ) mét,0.0
19134,tốt tươi,xemtươi tốt,0.6
19135,ngòi viết,nhưngòi bút,0.0
19136,thứ nữ,con gái thứ,0.0
19137,tịch ký,xemtịch thu,-0.6
19138,mặt mo,kẻ trơ trẽn,-0.8
19139,cao xạ,pháo cao xạ,0.0
19140,mãn đời,xemmãn kiếp,-0.3
19141,gốc gác,nơi sinh ra,0.0
19142,khi quân,lừa dối vua,-0.8
19143,nhặng bộ,nhưnhặng xị,-0.5
19144,khẩn cầu,xemcầu khẩn,0.0
19145,khảo tra,xemtra khảo,-0.9
19146,bạch tuyết,tuyết trắng,0.0
19147,trinh bạch,trong trắng,0.8
19148,tà tâm,lòng độc ác,-0.9
19149,giấc vàng,nhưgiấc hoa,0.2
19150,gắp thăm,nhưrút thăm,0.0
19151,nhụng nhịu,mềm nhũn ra,-0.3
19152,chỉnh lý,nhưchỉnh lí,0.0
19153,quản thúc,nhưquản chế,-0.7
19154,rùm beng,"ồn ào, ầm ĩ",-0.6
19155,loạn óc,xemloạn trí,-0.7
19156,tuổi xanh,xemtuổi trẻ,0.5
19157,phát vãng,nhưphát lưu,-0.8
19158,giở giói,bày vẽ thêm,-0.4
19159,báu vật,vật quí giá,0.8
19160,mây Tần,nỗi nhớ nhà,-0.4
19161,nghiêng nghiêng,hơi nghiêng,0.0
19162,nghẽn,không thông,-0.5
19163,tụng kỳ,kỳ xử kiện,0.0
19164,nôn mửa,do nôn mửa,-0.6
19165,tay đẫy,xemtay nải,0.0
19166,nghiệt ngã,rất nghiệt,-0.8
19167,loạn xị,xemloạn xạ,-0.6
19168,khổ dịch,xemkhổ sai,-0.9
19169,ghế xích đu,xemxích đu,0.2
19170,sắt son,xemson sắt,0.8
19171,du hành,đi chơi xa,0.5
19172,màu dầu,nhưsơn dầu,0.0
19173,thom thóp,xemnơm nớp,-0.8
19174,thổ huyết,nôn ra máu,-0.9
19175,tôi tớ,người đi ở,0.0
19176,bộn,ngổn ngang,-0.5
19177,lửng dạ,ăn chưa no,-0.4
19178,nội qui,xemnội quy,0.0
19179,chế tác,nhưchế tạo,0.0
19180,mặt mũi,nhưmặt mày,0.0
19181,tâm não,xemtâm trí,0.0
19182,phẩm vật,đồ quý giá,0.7
19183,lầm lỗi,xemlỗi lầm,-0.6
19184,nương bóng,dựa vào ai,0.3
19185,nương tay,nhưnhẹ tay,0.4
19186,tục tác,xemcục tác,0.0
19187,giày ta,xemgiày hạ,0.0
19188,hương phụ,cây cỏ gấu,0.0
19189,tí chút,xemchút ít,0.0
19190,khẩn hoang,khai hoang,0.4
19191,trĩu trịt,trĩu xuống,0.0
19192,thăng hà,nhưbăng hà,-0.5
19193,gặp hội,nhưgặp dịp,0.6
19194,khi mạn,coi thường,-0.7
19195,sà lúp,Xuồng máy.,0.0
19196,giăm cối,nhưdăm cối,0.0
19197,gau gáu,xemrau ráu,-0.7
19198,thứ đệ,nhưthứ bậc,0.0
19199,khởi hành,bắt đầu đi,0.0
19200,quân sĩ,nhưbinh sĩ,0.0
19201,gầy guộc,xemgầy đét,-0.6
19202,rượu đế,rượu trắng,0.0
19203,cựu thời,thời trước,0.0
19204,ẹp,xuống thấp,0.0
19205,ti hào,số rất nhỏ,0.0
19206,ti trúc,đàn và sáo,0.0
19207,tiên tổ,xemtổ tiên,0.0
19208,giấp,xemdiếp cá,0.0
19209,sặc tiết,nhưsặc máu,-0.8
19210,chân lý,xemchân lí,0.7
19211,sắc chiếu,nhưsắc chỉ,0.0
19212,mộng mị,không thực,0.0
19213,quất hồng bì,nhưhồng bì,0.0
19214,lểu đểu,nhưlảo đảo,-0.4
19215,sẩy miệng,nói lỡ lời,-0.3
19216,chàng hiu,chẫu chàng,0.0
19217,minh nguyệt,trăng sáng,0.5
19218,trớt,môi trề ra,-0.3
19219,trợt,da bị trầy,-0.2
19220,học đường,trường học,0.0
19221,nhặm lẹ,nhanh nhẹn,0.5
19222,gầy còm,gầy và yếu,-0.7
19223,thất đảm,quá sợ hãi,-0.8
19224,ngoéo,"móc, ngoắc",0.0
19225,trân bảo,đồ quý báu,0.8
19226,mai mốt,nhưmai kia,0.0
19227,lù khù,ngờ nghệch,-0.5
19228,mua bán,mua và bán,0.0
19229,múa mỏ,xemmúa mép,-0.5
19230,gian phụ,xemdâm phụ,-0.9
19231,từ chối,không nhận,0.0
19232,tốc thành,chóng xong,0.5
19233,thuyền lan,thuyền nhỏ,0.0
19234,lệch lạc,không đúng,-0.6
19235,lẳng khẳng,cao và gầy,0.0
19236,kêu la,kêu to lên,-0.5
19237,xiêm y,Xemáo xiêm,0.0
19238,xoàn,Kim cương.,0.7
19239,tân giai nhân,cô dâu mới,0.6
19240,tối đa,nhiều nhất,0.0
19241,lỡ thời,mất cơ hội,-0.6
19242,già câng,xemgià cấc,0.0
19243,toại lòng,được như ý,0.7
19244,hoàng thái tử,xemthái tử,0.0
19245,sắt cầm,nhưcầm sắt,0.0
19246,thức nhắc,đêm ít ngủ,-0.4
19247,kết giao,nhưkết bạn,0.6
19248,quặt quẹo,hay ốm vặt,-0.7
19249,từ ái,thương yêu,0.9
19250,ngoại thành,nhưngoại ô,0.0
19251,già giặn,nhưgià dặn,0.6
19252,tì ố,có vết bẩn,-0.5
19253,tí hon,rất bé nhỏ,0.0
19254,ngoại bang,nước ngoài,0.0
19255,xưa kia,Trước đây.,0.0
19256,quan tài,nhưáo quan,-0.8
19257,thào,thoáng qua,0.0
19258,kéo bộ,nhưcuốc bộ,0.0
19259,ngang ngang,hơi chướng,-0.4
19260,ngau ngáu,xemrau ráu,0.0
19261,sinh nở,nhưsinh đẻ,0.0
