tu,dinh_nghia
hỏi han,bày tỏ sự quan tâm
hỏi tra,hỏi cho ra sự thật
rải rắc,gieo vãi nhiều nơi
thóc gạo,lương thực chủ yếu
thông dụng,được dùng phổ biến
ngậm,giữ lại bằng miệng
thối mồm,bịa đặt để nói xấu
lẻ tẻ,"rời rạc, thưa thớt"
tử thi,thi thể người chết
khoảnh khoái,nhưkhoảnh(nghĩa 1)
ấn hành,in ra và phát hành
mét khối,đơn vị đo thể tích
tinh binh,đội quân tinh nhuệ
thiết giáp hạm,tàu lớn có vỏ thép
treo giải,đặt giải để thưởng
lập nghiệp,gây dựng cơ nghiệp
khoăm,(ít dùng) xemkhoằm
phút chốc,thời gian rất ngắn
dạt,bị đẩy đi nơi khác
rảo,"đi nhanh, bước gấp"
ra miệng,công khai phản đối
ngược đời,trái với lẽ thường
tàn khốc,"tàn bạo, khốc liệt"
lễ lạt,biếu xén để nhờ vả
thiếu thời,lúc còn thiếu niên
thiếp danh,(từ cũ) danh thiếp
chớp mắt,thời gian rất ngắn
gầy gò,"gầy, nói khái quát"
tốt bộ,bề ngoài ra vẻ tốt
oan hồn,hồn người chết oan
tiểu truyện,(từ cũ) xemtiểu sử
tin tức,"tin, nói khái quát"
trẩm,không mọc lên được
trần liệt,bày thành hàng lối
hôi hám,"mùi hôi, nói chung"
ngơ,làm như không biết
ta thán,than thở oán trách
tả chân,đúng như hiện thực
ô-tô du lịch,ô-tô con có hòm xe
nồng cháy,tình cảm thiết tha
phụ khuyết,thêm vào chỗ thiếu
chóng vánh,"rất nhanh, dễ dàng"
phương thuốc,xemphương(nghĩa 5)
ngạt mũi,khó thở vì tắc mũi
ơ hờ,"hờ hững, lạnh lùng"
lấn át,dùng quyền ăn hiếp
đèn ống,xemđèn huỳnh quang
thon thon,"nhỏ nhắn, gọn gàng"
ôn con,tiếng mắng trẻ con
tác phúc,làm phúc cho người
tướng mạo,"vẻ mặt, dáng người"
Hán văn,văn chương chữ Hán
hậu quả,kết quả xấu về sau
thồn,"nhét, ấn vào trong"
nhồi nhét,dồn chứa quá nhiều
ngẩng,hướng mặt lên trên
ngân bản vị,(từ cũ) bản vị bạc
vấy vá,Làm bẩn nhiều chỗ.
kinh tài,"kinh tế, tài chính"
chiền chiền,"rành mạch, rõ ràng"
trấn định,giữ được bình tĩnh
phú quý,giàu và sang trọng
tài trí,"có tài, thông minh"
phượng tây,xemphượng(nghĩa 2)
hở cơ,vô ý để lộ chỗ yếu
tự vựng,(từ cũ) nhưtừ vựng
xê dịch,Thay đổi ít nhiều.
hời hợt,lướt qua; nông cạn
máu cá,máu có màu đỏ nhạt
triều kiến,chầu để ra mắt vua
ranh con,tiếng mắng trẻ con
nực,thời tiết nóng bức
reo hò,kêu to do vui mừng
ban phát,cấp cho người khác
xấu số,Số phận không may.
trinh thám,"dò xét, thám thính"
khí gió,tiếng rủa thân mật
hao hụt,bị mất đi một phần
hâm mộ,"ưa thích, mến phục"
bái phục,phục người tài đức
huấn dụ,(từ cũ) khuyên dạy
tiểu thương,người buôn bán nhỏ
thâm nghiêm,"sâu kín, uy nghiêm"
tuổi già,đời sống người già
lấm láp,"lấm, nói khái quát"
quá khổ,kích thước quá lớn
quá tay,trên mức cần thiết
quyết chiến,chiến đấu đến cùng
mum,nhấm bằng răng cửa
ngoại ngạch,ngoài ngạch thường
rưỡi,một nửa của đơn vị
nhem nhép,"ướt nhão, bẩn thỉu"
hùng cứ,chiếm giữ một vùng
thua thiệt,chịu những mất mát
quái đản,khó tin là có thật
lò cò,nhảy bằng một chân
tríu,quấn lấy không rời
đà đao,mưu mô để đánh lừa
đả thương,đánh cho bị thương
đã,không còn khó chịu
hanh thông,"trôi chảy, may mắn"
thõng thẹo,"chậm chạp, mềm yếu"
phớn phở,"rạng rỡ, vui sướng"
sự tình,uẩn khúc bên trong
mảy,"phần, lượng rất ít"
to tát,tầm quan trọng lớn
toàn bích,"hay, đẹp hoàn toàn"
sứ thần,xemsứ giả(nghĩa 1)
thuần phác,"hiền lành, mộc mạc"
lo nghĩ,"lo lắng, nghĩ ngợi"
lạc vận,thơ không đúng vần
nhởn,"chơi, không làm gì"
tản bộ,dạo chơi thong thả
lông vũ,lông của loài chim
rèn cặp,"chăm nom, giáo dục"
hạm,tàu chiến loại lớn
thống tướng,tướng tổng chỉ huy
quang đãng,"rộng rãi, sáng sủa"
thoái trào,phong trào suy yếu
thoảng,lướt qua nhẹ nhàng
thôi thúc,"thúc đẩy, giục giã"
thiên thu,lâu dài; vĩnh viễn
lim dim,mắt nhắm chưa khít
hung tàn,"hung hăng, tàn bạo"
cố sát,giết người có cố ý
sướng tai,thích thú khi nghe
tang trai,"chôn cất, làm chay"
đánh lừa,làm cho bị mắc mưu
hạ cố,nhìn đến; để ý đến
lạch bạch,"nặng nề, chậm chạp"
lo tính,"lo liệu, tính toán"
lo toan,có trách nhiệm cao
loai nhoai,chuyển động yếu ớt
xán lạn,"Rực rỡ, huy hoàng."
báo phục,trả ơn và phục thù
tranh giành,giành lấy phần hơn
bảo trợ,che chở và giúp đỡ
chật,kích thước nhỏ hơn
hứa hôn,hẹn ước sẽ kết hôn
tâm thần,"tâm trí, tinh thần"
tâm tính,tính nết mỗi người
tương tư,thương nhớ da diết
thiên kim,(từ cũ) nghìn vàng
nguy ngập,"khó khăn, khốn đốn"
liên tục,không bị gián đoạn
dễ thương,đáng yêu; đáng mến
dịu dàng,"mềm mại, nhẹ nhàng"
lỗi đạo,trái với đạo nghĩa
thiết thạch,"sắt đá, kiên cường"
hào hứng,cảm thấy ham thích
nau,đau đớn như đau đẻ
vàm,"Ngã ba sông, rạch."
khởi sắc,phát triển tốt lên
báo thức,tín hiệu đánh thức
vô lý,Không hợp lẽ phải.
vô tận,Không bao giờ hết.
kể trên,"đã nói, ghi ở trên"
dặm hồng,đường đầy bụi hồng
loạn đả,đánh nhau hỗn loạn
tên gọi,tên thường nói đến
chứa đựng,giữ trong nội dung
lọ lem,"lem luốc, bẩn thỉu"
nhẹ lời,nói năng nhẹ nhàng
cô nhi,(từ cũ) trẻ mồ côi
lăng líu,dính dáng lôi thôi
gộp,nhập chung làm một
lang chạ,chung đụng bừa bãi
tuẫn tiết,tự tử vì nghĩa lớn
tới tấp,"liên tiếp, dồn dập"
nóng tính,có tính dễ cáu gắt
tổ phó,chức sau tổ trưởng
ngừng bước,không tiến lên nữa
khinh khí,(từ cũ) khí hy-đrô
khinh khí cầu,(từ cũ) nhưkhí cầu
khát vọng,mong ước tha thiết
thừa ân,chịu ơn người trên
tiếng dội,tiếng vang đáp lại
tiệp báo,tin báo thắng trận
lỡ tay,không may làm hỏng
vẹn vẽ,Tốt đẹp hoàn toàn.
rốn lại,gắng ở thêm ít lâu
thời luận,lời bàn đương thời
thừa sức,năng lực vượt trội
thừa tập,kế thừa vốn có sẵn
nếm trải,trải qua; kinh qua
thuôn thuôn,nhỏ dần về một đầu
tắt tiếng,nói không ra tiếng
tâm phục,phục từ trong lòng
thích nghĩa,giảng cho rõ nghĩa
ngú ngớ,"khờ dại, chậm chạp"
vô biên,Không có giới hạn.
kéo bè,nhưkéo bè kéo cánh
ìn ịt,xemịt(ý liên tiếp)
òi ọp,trẻ con hay đau ốm
lao phiền,"vất vả, buồn phiền"
lao tư,lao động và tư bản
ngầy ngà,trách móc dai dẳng
oẻ,cong xuống do nặng
gông cùm,ách áp bức nặng nề
mộc dục,lau rửa tượng thần
trái phép,trái với luật pháp
trái tai,những lời khó nghe
tốt phúc,thường gặp may mắn
tốt trời,thời tiết tạnh ráo
mượt,"trơn nhẵn, mềm mại"
trông ngóng,thiết tha được gặp
vàng khè,"Màu vàng sẫm, tối."
trốn mặt,tránh để không gặp
trông chờ,mong đợi nhận được
nóng ruột,lo lắng trong lòng
hình dáng,vẻ riêng bên ngoài
lơn,đùa cợt với phụ nữ
biếm,(từ cũ) giáng chức
ngoẻo,nghiêng về một bên
bết,bận bịu nhiều việc
kiêm toàn,đầy đủ và hoàn hảo
kiệm,"tiết kiệm, nói tắt"
râm,không có bóng nắng
ngoài da,thuốc bôi ngoài da
kiệt,đường hẻm; ngõ cụt
tợp,há miệng đớp nhanh
luân phiên,thay nhau lần lượt
đa âm,(từ cũ) xemđa tiết
thiểm,thâm độc ngấm ngầm
nên người,thành người có ích
hờ,quan hệ không thân
hờ hững,tình cảm lạnh nhạt
nghĩa binh,(từ cũ) nghĩa quân
kê cứu,tìm tòi nghiên cứu
quan hà,lúc tiễn biệt nhau
thương hại,rủ lòng thương xót
rõ ràng,"rành mạch, dễ hiểu"
nhọ,có vết bẩn màu đen
nhoe nhoé,tiếng kêu dai dẳng
ươn hèn,Bản lĩnh thấp kém.
phỉ nguyền,thoả lòng mong đợi
phỉ phong,"thanh đạm, giản dị"
chốc mòng,(từ cũ) trông mong
trắng bốp,trắng sạch như mới
đồ bỏ,chê một kẻ hư hỏng
đệ trình,trình lên cấp trên
hội thí,(từ cũ) kỳ thi hội
giũa dạy,răn đe nghiêm khắc
nấm lùn,"nói người thấp, bé"
ngang hàng,người cùng một bậc
ngao ngán,"buồn rầu, chán nản"
xéo,Giẫm bừa chân lên.
khổ độc,"trúc trắc, khó đọc"
giở trời,thời tiết thay đổi
con số,ký hiệu các số đếm
nhật tụng,kinh đọc hàng ngày
ót,"nương, rẫy bạc màu"
gọn gàng,"gọn, nói khái quát"
gọn mắt,"gọn, không rườm rà"
phi pháp,trái với pháp luật
khiêm,"khiêm tốn, nói tắt"
nhà buôn,người buôn bán lớn
tươi sáng,"tươi tắn, sáng sủa"
lục soát,tìm kĩ để khám xét
trớ,trẻ sơ sinh bị nôn
làm lẽ,xemlàm bé(nghĩa 1)
làm mồi,dùng thứ gì để nhử
gia sự,(từ cũ) chuyện nhà
kết xã,họp thành đoàn thể
thanh thanh,"nhẹ nhàng, dễ nhìn"
óng ả,"mềm mại, thướt tha"
khai hội,họp lại để bàn bạc
nối đuôi,tiếp liền ngay sau
trung tâm điểm,nơi trọng yếu nhất
nhôm nham,"nham nhở, bẩn thỉu"
phiếm ái,yêu chung một loài
nẫng,"lấy cắp nhanh, gọn"
nể,khó có thể từ chối
ri,chim giống chim sẻ
kháu,"xinh xắn, đáng yêu"
ngưng trệ,chậm lại; đọng lại
nhũng,"rầy rà, phiền phức"
lòng mo,khum khum hơi cong
miếu đường,(từ cũ) triều đình
nhanh nhẹn,"dễ dàng, mau chóng"
nhanh nhảnh,không nghiêm trang
khai mào,bắt đầu câu chuyện
nhắn nhủ,gửi lời khuyên nhủ
phi nghĩa,trái với đạo nghĩa
trắng án,được toà xử vô tội
trắng bạch,trắng toàn một màu
trái ý,không hợp với ý ai
nghênh tiếp,đón tiếp trọng thể
kim sinh,cuộc sống hiện nay
gà pha,gà lai nhiều giống
nhất hạng,thuộc về hạng nhất
phi tần,các vợ thứ của vua
hoạn quan,viên quan bị thiến
đổi thay,làm cho khác trước
giong ruổi,"đi nhanh, liên tục"
tầm thước,vóc người vừa phải
quốc pháp,pháp luật của nước
thủ tự,người coi giữ chùa
thanh tịnh,hoàn toàn yên tĩnh
meo,mốc bám thành mảng
nỏ nang,"đảm đang, lanh lợi"
ngự phê,vua ghi ý kiến vào
tu từ,thuộc về tu từ học
đẫy,"cơ thể to, hơi béo"
bạo bệnh,bệnh nặng đột ngột
tổng quát,nhìn chung toàn bộ
nhiệm vụ,công việc phải làm
khai thông,làm cho thông suốt
hèn mạt,nhân cách thấp kém
hèn mọn,thấp kém và nhỏ bé
tổng khủng hoảng,giảm sút toàn diện
tột phẩm,phẩm trật cao nhất
lấp loáng,ánh sáng chập chờn
lấp lú,quên chuyện đã qua
khó trôi,mất nhiều công sức
se,đau xót trong lòng
khải hoàn,chiến thắng trở về
kệch,"thô, không đẹp mắt"
sẵn lòng,vui vẻ làm việc gì
tiềm lực,sức mạnh tiềm tàng
tiềm năng,năng lực tiềm tàng
khánh hạ,(từ cũ) lễ ăn mừng
lưu truyền,để lại cho đời sau
lọn,"nắm, mớ (dạng sợi)"
long án,hương án chạm rồng
nỗi mình,hoàn cảnh bản thân
giường chiếu,"chỗ nằm, nói chung"
đìu hiu,buồn bã vì vắng vẻ
người ở,nhưngười giúp việc
thân sinh,người sinh ra mình
thân thích,người thuộc họ gần
đợi,chờ ai hoặc cái gì
đừng,ngăn lại; dừng lại
to bụng,mang thai; có chửa
mưu sinh,tìm cách sinh sống
săn bắn,đuổi bắt muông thú
riêng biệt,không chung với ai
nài xin,khẩn khoản yêu cầu
teo,"co dúm, bé dần lại"
đứt,bị vật sắc cắt vào
niềm nở,"vui vẻ, nhiệt tình"
nhử,dùng mồi để dụ bắt
lải nhải,nói đi nói lại mãi
nồi đáy,nồi để bắc chõ lên
tiệm tiến,tiến triển dần dần
nghĩa lý,giá trị quan trọng
rác rưởi,"xấu xa, đáng khinh"
phủ dụ,(từ cũ) khuyên bảo
tu nghiệp,trau dồi nghiệp vụ
lậu,"trái phép, lén lút"
tử biệt,chia tay vĩnh viễn
bạo chúa,"vua, chúa hung bạo"
kính chúc,chúc mừng kính cẩn
núp,ẩn nấp nơi kín đáo
phòng bệnh,ngăn ngừa bệnh tật
nặng gánh,có trách nhiệm lớn
ôm chân,"nịnh nọt, luồn cúi"
khất khứa,xin hoãn nhiều lần
tay khấu,tay cầm cương ngựa
thân tín,gần gũi và tin cậy
giáp lá cà,xemđánh giáp lá cà
tơ tình,tình yêu vương vấn
lâu đời,trải qua nhiều đời
nánh,tránh sang một bên
tận,"kết thúc, chấm dứt"
tận cùng,kết thúc; chỗ cuối
độc nhất,chỉ có một mà thôi
nổi dậy,vùng lên đấu tranh
nổi loạn,đứng lên chống lại
tiếp dẫn,đón tiếp và đưa đi
nho phong,phong thái nhà nho
nhạt nhẽo,nhạt đến mức vô vị
phân minh,"rõ ràng, minh bạch"
vấn an,Hỏi thăm sức khoẻ.
tinh anh,"mắt sáng, lanh lợi"
mốc thếch,mốc đến mức bạc đi
tiếp kiến,đón và tiếp chuyện
eng éc,xeméc(ý liên tiếp)
hoàng thượng,từ để tôn xưng vua
e e,tiếng trẻ con khóc
e thẹn,"rụt rè, thẹn thùng"
tơ tóc,xemtóc tơ(nghĩa 2)
giáp chiến,đánh giáp mặt nhau
thất ước,không giữ đúng lời
trụng,nhúng vào nước sôi
khổ não,đau đớn và sầu não
truy đuổi,ráo riết đuổi theo
đồng thân,thông gia với nhau
quỷ quái,"tinh ma, ranh mãnh"
sánh duyên,kết duyên với nhau
sởn mởn,"nở nang, tươi thắm"
nhây,"kéo dài, không dứt"
nhe,chành môi để lộ ra
khẩu chiếm,ứng khẩu thành văn
khẩu truyền,lưu lại bằng miệng
lướt mướt,đầm đìa những nước
sang đoạt,(từ cũ) chiếm đoạt
ốt dột,"xấu hổ, ngượng mặt"
lạ mặt,không rõ tung tích
tự tình,bộc lộ niềm tâm sự
nhược,tốn nhiều công sức
gạ gẫm,gạ (nói khái quát)
lưu loát,"trôi chảy, dễ dàng"
tiếp theo,tiếp liền theo sau
ác nghiệt,"độc ác, cay nghiệt"
rối bung,lộn xộn; lung tung
truyền giáo,truyền bá tôn giáo
ấn loát,"việc in, nói chung"
ngoao,Tiếng kêu của mèo.
nghiền ngẫm,suy nghĩ lâu và kỹ
khâu vá,may vá (nói chung)
trò cười,việc đáng chê cười
cứu cánh,mục đích cuối cùng
trơ trẽn,"lố bịch, đáng ghét"
thấm nhuần,hiểu kĩ và sâu sắc
cửu chương,xembảng cửu chương
thẩm đoán,"xét xử, phán quyết"
ngắn ngủi,thời gian quá ngắn
tứa,chảy ra thành giọt
hữu thần luận,xemthuyết hữu thần
rửa ráy,"rửa, nói khái quát"
nắm vững,hiểu biết thấu đáo
tấp nập,đông người qua lại
te tái,"vội vã, nhanh nhảu"
lỗ mỗ,"ít, không đích xác"
trừ bỏ,làm cho mất hẳn đi
ngon miệng,miệng ăn biết ngon
trần ai,hoàn cảnh gian khổ
giãn,"xemdãn(nghĩa 1, 2)"
nhũng nhẵng,dai dẳng không dứt
năn nỉ,khẩn khoản yêu cầu
tả dực,cánh quân bên trái
động đào,(từ cũ) nơi tiên ở
dương hoà,không khí mùa xuân
mất mặt,không còn thể diện
mập mạp,"mập, nói khái quát"
thầm thì,nói khẽ và kín đáo
giảm nhẹ,giảm với mức độ ít
lớ quớ,"vụng về, lúng túng"
phẳng phiu,phẳng và ngay ngắn
rứt ruột,nỗi đau xót cực độ
giỗ chạp,cúng bái trong năm
nón,đồ dùng để đội đầu
khinh khi,không coi ai ra gì
khước từ,từ chối không nhận
bận lòng,lo lắng về việc gì
thương gia,người buôn bán lớn
thầm vụng,"lén lút, vụng trộm"
héo hắt,mất đi vẻ tươi tắn
rạch ròi,"rành mạch, dễ hiểu"
mặc xác,không quan tâm đến
truyền thần,vẽ chân dung người
ngọt ngào,"nhẹ nhàng, dễ chịu"
tròn trặn,"Tròn đều, đầy đặn."
quyệt,"quỷ quyệt, xảo trá"
mất trộm,bị lấy mất của cải
trì độn,"chậm chạp, đần độn"
thất ý,trái với mong muốn
cầu an,mong được bình yên
ấm áp,"dễ chịu, thoải mái"
nít,chai nhỏ đựng rượu
tiêu trừ,làm cho mất hẳn đi
niên xỉ,tuổi tác người già
khuông phù,giúp một triều vua
hợp pháp,đúng với pháp luật
tả hữu,"bên trái, bên phải"
cau có,"nhăn nhó, bực mình"
nhuần miệng,nhắc lại nhiều lần
trảo nha,nanh vuốt để tự vệ
triệu phú,người có bạc triệu
trẻ em,"trẻ con, nói chung"
tính toán,"suy nghĩ, cân nhắc"
sốt gan,"nóng ruột, bực tức"
ti tiện,tính toán nhỏ nhen
mật mã,mã được giữ bí mật
rú,núi nhỏ có cây rậm
thăm nom,"trông nom, săn sóc"
triết,"triết học, nói tắt"
bát nháo,"lộn xộn, lung tung"
giả cách,làm ra vẻ như thật
minh thệ,(từ cũ) thề nguyền
chiến hữu,bạn cùng chiến đấu
mệnh danh,đặt tên là; gọi là
tình nghi,nghi ngờ là có tội
khó nghe,lời nói chướng tai
oán thù,nhưoán hận;căm thù
hương thôn,"làng mạc, thôn quê"
hương tục,phong tục của làng
cắt bỏ,không cho tiếp tục
leo trèo,"leo, nói khái quát"
cấm thành,nơi vua ở ngày xưa
giáo cụ,đồ dùng để dạy học
quyến thuộc,họ hàng thân thuộc
sở nguyện,điều hằng mong ước
trấn phong,vật dùng tránh gió
lộn giống,lẫn với giống khác
muống,"rau muống, nói tắt"
ghim,gài bằng đinh ghim
loãng,nhiều nước ít cái
lớ ngớ,"vụng về, ngớ ngẩn"
lỡ vận,không gặp thời cơ
mím,ngậm chặt môi lại
thảo phạt,đem quân dẹp giặc
gí,ép thật sát xuống
thành đạt,làm nên danh phận
trắng tinh,trắng đều một màu
thanh lâu,nhà chứa gái điếm
than cám,"than vụn, hạt nhỏ"
mong ước,"mong muốn, ước ao"
trẹo,chệch với sự thật
nhớp nhúa,"bẩn thỉu, ẩm thấp"
rủng rỉnh,"dư thừa, sung túc"
nom,trông; để mắt đến
trận địa chiến,lối đánh trận địa
êm chuyện,không còn rắc rối
êm ái,"dịu dàng, dễ chịu"
nát bét,hư hỏng hoàn toàn
khổng tước,(từ cũ) chim công
phục vị,nằm bẹp xuống đất
ê ẩm,"đau âm ỉ, kéo dài"
mong,khát khao đợi chờ
giải nhiệt,làm hạ thân nhiệt
bóng trăng,(từ cũ) mặt trăng
trí trá,"gian dối, lọc lừa"
nguồn gốc,từ đó nảy sinh ra
tròn xoay,tròn đều các phía
trắng muốt,trắng và mịn màng
trắng lốp,trắng nổi hẳn lên
mất dạy,thiếu sự giáo dục
gấp bội,gấp hơn nhiều lần
lợm giọng,cảm thấy buồn nôn
trừ căn,tiêu diệt tận gốc
trối chết,quá sức chịu đựng
thánh cung,"(từ cũ) vua, chúa"
phụng mệnh,(từ cũ) tuân lệnh
thánh đản,ngày thánh ra đời
khảnh,ăn ít và kén chọn
khang kiện,(từ cũ) mạnh khoẻ
khang cường,(từ cũ) mạnh khoẻ
quá vãng,(từ cũ) xemquá cố
ngón chân,ngón của bàn chân
tốt mã,chỉ đẹp bên ngoài
gập gà gập ghềnh,xemgập ghềnh(láy)
trung nghĩa,một lòng vì nghĩa
trạng mạo,"dáng vẻ, diện mạo"
láng giềng,các nước cạnh bên
kinh niên,kéo dài nhiều năm
rạng rỡ,tiếng tăm vẻ vang
mộ địa,(từ cũ) nghĩa địa
thân hữu,bạn bè thân thuộc
trụm,hết trong một lần
quỷ quyệt,"gian ác, hiểm độc"
hoàng trùng,(từ cũ) châu chấu
trọng bệnh,(từ cũ) bệnh nặng
thách thức,thách làm điều gì
não lòng,"buồn rầu, đau khổ"
đề huề,"vui vẻ, hoà thuận"
lưu,(từ cũ) đày đi xa
đông đúc,nơi có đông người
tết ta,nhưtết nguyên đán
tết âm lịch,xemtết Nguyên Đán
khứa,Khúc được cắt ra.
mơn,"xoa, vuốt rất nhẹ"
thả rong,nuôi ngoài chuồng
má hồng,người con gái đẹp
trong ngoài,cả trong và ngoài
tuyệt hảo,có chất lượng cao
lược thuật,trình bày tóm tắt
thất vọng,không còn hi vọng
rỡ ràng,"rất sáng, rất đẹp"
lang y,thầy thuốc đông y
nổ ran,nổ vang liên tiếp
im lịm,"im lặng, bất động"
tối mịt,không có ánh sáng
em chồng,em của chồng mình
tối đen,không có ánh sáng
lỡ dở,dở dang nửa chừng
múa mép,"ba hoa, khoác lác"
luyện binh,rèn luyện binh sĩ
tư hữu,riêng của cá nhân
tuyệt chủng,mất hẳn nòi giống
tuyển cử,bầu cử bằng phiếu
thấu tình,hiểu rõ tình cảnh
phế viêm,(từ cũ) viêm phổi
thất tín,không giữ lời hứa
mãn cuộc,kết thúc; kết cục
thất nghiệp,không có việc làm
tờ bồi,"thư từ, nói chung"
ngoáo,"ngoáo ộp, nói tắt"
khặc khừ,"mệt mỏi, khó chịu"
quằn quại,vật vã vì quá đau
rảnh,không bận việc gì
lủm,nuốt gọn cả miếng
um tùm,"rậm rạp, xanh tốt"
tương hỗ,trao đổi lẫn nhau
tĩnh mịch,"yên lặng, vắng vẻ"
đỗi,mức độ; chừng mực
hoàng,"hoàng tử, nói tắt"
nhứ,làm cho theo mình
nhuyễn,trộn lẫn vào nhau
nín tiếng,không nói một lời
trộn trạo,xen lẫn vào trong
trông coi,"chăm sóc, giữ gìn"
lù,ánh sáng giảm dần
trở gót,quay lại hướng cũ
giấy chứng nhận,nhưgiấy chứng chỉ
trộm cướp,trộm và cướp giật
phi công,người lái máy bay
im lặng,không có phản ứng
nhủn,rủn; đến kiệt sức
từ giã,chia tay để đi xa
tự liệu,tự mình định đoạt
dơ dáng,không biết xấu hổ
quây quẩy,dứt khoát từ chối
ngu ngơ,"ngây ngô, khờ dại"
thế thường,thói thường ở đời
nguồi nguội,nguội đi một chút
dở hơi,"hơi gàn, lẩn thẩn"
lộn phèo,lẫn lộn lung tung
lộn mửa,cảm giác ghê tởm.
giễu cợt,"chế nhạo, mỉa mai"
mộ táng,mộ từ thời xa xưa
Phong thu,thu hoạch dồi dào
nảy,bắt đầu phát sinh
tiêu tao,"buồn bã, não nuột"
thi thánh,nhà thơ tuyệt vời
số chẵn,số chia hết cho 2
lon xon,"hấp tấp, vội vàng"
đôi co,lời qua tiếng lại
trung bộ,xemtrung(nghĩa 2)
mãnh,"ông mãnh, nói tắt"
thi ca,"thơ, ca nói chung"
lộng óc,làm cho choáng óc
vô hại,Không gây hại gì.
khô khốc,âm thanh khó nghe
lam lũ,"vất vả, nhọc nhằn"
lỗi hẹn,không giữ lời hứa
lọt tai,"xuôi tai, dễ nghe"
vô tư lự,Không lo lắng gì.
địt,đánh rắm (từ tục)
tiêu sơ,"đơn sơ, thanh nhã"
náu tiếng,không nói năng gì
Tây thiên,hướng về phía tây
nạo tiền,vòi vĩnh xin tiền
dĩ vãng,thuộc thời đã qua
dễ coi,dáng vẻ không xấu
lót dạ,ăn nhẹ cho đỡ đói
kim thuộc,thuộc về kim loại
loi nhoi,lúc nhúc nhoi lên
tiết ước,chi tiêu tằn tiện
quái lạ,"lạ lùng, khó hiểu"
thiên cổ,"lâu đời, ngàn đời"
đêm ngày,đêm cũng như ngày
nhà thương,(từ cũ) bệnh viện
gạo dự,"gạo mùa thơm, dẻo"
trực thăng,máy bay lên thẳng
quá quắt,quá mức chịu đựng
quá lứa,nhưquá lứa lỡ thì
nhã thú,thú vui thanh cao
thiên mệnh,(từ cũ) mệnh trời
dài dòng,"nhiều lời, vô ích"
thiện nhân,người lương thiện
nóng hừng hực,nhiệt độ đang cao
mắc xương,bị hóc xương ở cổ
nhọc lòng,"lo lắng, suy nghĩ"
quá trớn,trên mức cho phép
quá sức,vượt quá khả năng
nghĩa cử,việc làm vì nghĩa
thiên tử,từ để gọi tôn vua
triệt hạ,phá huỷ hoàn toàn
nõn nà,"tươi tắn, mượt mà"
hữu dụng,có ích; được việc
nhốn nháo,"hỗn loạn, lộn xộn"
thường nhật,ngày nào cũng thế
thường dùng,cần đến hàng ngày
lị,"kiết lị, nói  tắt"
trì hoãn,kéo dài thời gian
tri tình,hiểu rõ tình hình
lên đường,bắt đầu chuyến đi
thiết lộ,(từ cũ) đường sắt
cùng khổ,nghèo khổ hết sức
nhỡ bước,trót đi lầm đường
sâm si,chênh lệch rất ít
mao,lông của loài thú
ra rìa,bị gạt ra một bên
áp giải,Đi kèm để giải đi
thịnh danh,(từ cũ) tiếng tốt
lèo xèo,nhắc lại dai dẳng
tố nữ,người con gái đẹp
tố nga,người con gái đẹp
lẫm,nơi chứa thóc lúa
hư thực,có thực hay không
hư hỏng,"hư, nói khái quát"
nhạc tính,tính chất âm nhạc
sát khí,"dữ tợn, hung hăng"
ngoái,năm trước năm nay
gục,cúi hẳn đầu xuống
sâu độc,"nham hiểm, độc ác"
xếp hàng,Đứng theo thứ tự.
nuôi dưỡng,"chăm nom, săn sóc"
sọt,"đồ đựng, đan thưa"
thư nhàn,"thư thả, nhàn rỗi"
nên,kết quả trực tiếp
lây nhây,kéo dài không dứt
trẩy,đi đến một nơi xa
thiết vị,đặt bài vị để thờ
lập pháp,định ra pháp luật
quỳnh tương,(từ cũ) rượu ngon
thun lủn,"rất ngắn, khó coi"
ẩu đả,đánh nhau loạn xạ
phú hậu,giàu có hơn người
lập hiến,định ra hiến pháp
thôn trang,"làng xóm, ấp trại"
thổ địa,(từ cũ) ruộng đất
lộc nhung,sừng non của hươu
nóng sốt,người nóng vì sốt
nối khố,rất thân với nhau
rằng,nói ra; phát biểu
bài xích,đả kích kịch liệt
nhan sắc,vẻ đẹp của phụ nữ
lơ chơ,"rải rác, trơ trọi"
mê lộ,con đường lầm lạc
thồi,bàn trong tiệm ăn
thôn xóm,"xemthôn,làng nước"
thôn trưởng,người trưởng thôn
nam kha,giấc mơ hão huyền
lõ,"cao, nhọn hẳn lên"
linh nghiệm,đúng như lời đoán
mục đồng,"trẻ chăn trâu, bò"
mù,mất khả năng nhìn
chí hiếu,rất mực hiếu thảo
bang trợ,giúp đỡ chân tình
hám,ham muốn quá đáng
đảm bảo,giữ gìn chắc chắn
đánh giá,ước tính giá tiền
lông xước,lông vũ mọc ngược
bạn đảng,bè phái phản động
ngái ngủ,chưa tỉnh ngủ hẳn
sau này,tương lai sắp tới
khay nước,dùng đựng ấm chén
chung cuộc,cuộc thi kết thúc
tựu nghĩa,chết vì nghĩa lớn
thuần tính,"hiền lành, dễ bảo"
tâm địa,bụng dạ con người
đang,bằng lòng như thế
toán pháp,các phép làm tính
mềm yếu,thiếu cương quyết
tán thành,"đồng ý, chấp nhận"
hạ từ,kêu van khiêm tốn
côn quang,kẻ vô lại hung dữ
sức nặng,khả năng tác động
ngay thảo,tốt với mọi người
ngay mặt,im lặng vì ngượng
thòi,chìa hẳn ra ngoài
